9b305976-77bf-4d28-83ef-2f1be9d49a7d,2025-11-30T22:34:39.057875965,31.96,Dinner,L4
e0ee689f-8206-4bc3-876d-53186d1dfeda,2025-12-02T05:34:39.058120415,72.36,Online Purchase,L1
5703e24e-5dd5-4859-8236-9b558dcc2ccb,2025-12-03T01:34:39.058480519,84.11,Online Purchase,L4
ed7166f9-0b6f-4125-81e5-bca161b9898d,2025-11-29T04:34:39.058716771,12.27,Groceries,L5
41e00409-2a38-4c7f-8051-795f7ea73ce0,2025-12-03T00:34:39.058861,58.71,Groceries,L5
c7896eab-37e2-467b-97d1-658130111bf0,2025-11-29T17:34:39.059585874,85.37,ATM Withdrawal,L5
875abae6-8e4d-41ee-ba5b-8fa5d383854e,2025-12-02T04:34:39.059728951,54.63,Gas,L4
e4f3b94c-92b0-40fd-85c1-69a478021d7b,2025-11-29T19:34:39.060201113,43.24,Groceries,L2
d7cb5381-4083-489f-bfa9-e06641e912d8,2025-12-01T15:34:39.060401634,92.80,Deposit,L5
76113879-4cfa-464a-accd-72ce9b1ec390,2025-12-01T22:34:39.060534735,94.19,ATM Withdrawal,L4
fca7adc1-6ad9-4f28-a150-5ec99b1e679d,2025-11-30T12:34:39.060708632,32.31,Deposit,L1
fc820b2a-a8fb-4989-892c-b8ef824a984c,2025-12-01T04:34:39.060881585,20.49,ATM Withdrawal,L2
a7ebad7e-602e-49d5-8b6a-900909afd9e6,2025-12-01T03:34:39.061256650,55.56,Groceries,L4
cfcff272-5380-4cbc-b0f4-8fa1803fee33,2025-11-29T21:34:39.061494906,28.47,Deposit,L1
4359c9fe-7e73-48b8-a36c-d0a0d9f42505,2025-11-30T22:34:39.061682256,90.94,Deposit,L4
4779f45b-cea9-48c1-86d9-eacf665bf3dc,2025-11-30T00:34:39.062005609,58.34,ATM Withdrawal,L3
4cd31ca2-c002-4a00-af99-e30fe4d29df1,2025-11-29T10:34:39.062412867,97.48,Dinner,L5
e5883f3c-d766-4a2e-a510-e3aeef113850,2025-11-29T13:34:39.062569765,44.86,Gas,L5
5f00134e-aaea-45e5-a3b2-fb0e879d6e82,2025-12-03T00:34:39.062733616,27.94,Groceries,L5
